num,category,method_name,description,output_pattern
37,risco,Identificar Riscos Potenciais,Brainstorm sobre o que poderia dar errado em todas as categorias - fundamental para o planejamento de projetos e preparação para implantação,categorias → riscos → mitigações
38,risco,Cenários de Chaos Monkey,Quebre coisas deliberadamente para testar resiliência e recuperação - garante que os sistemas lidem com falhas graciosamente,quebra → observação → endurecimento
39,core,Análise de Primeiros Princípios,Remova suposições para reconstruir a partir de verdades fundamentais - técnica inovadora para inovação e resolução de problemas impossíveis,suposições → verdades → nova abordagem
40,core,Mergulho Profundo nos 5 Porquês,Pergunte repetidamente "por quê" para chegar às causas raízes - simples mas poderoso para entender falhas,corrente de porquês → causa raiz → solução
41,core,Questionamento Socrático,Use perguntas direcionadas para revelar suposições ocultas e guiar a descoberta - excelente para ensino e autodescoberta,perguntas → revelações → compreensão
42,core,Crítica e Refinamento,Revisão sistemática para identificar pontos fortes e fracos e depois melhorar - verificação de qualidade padrão para rascunhos,pontos fortes/fracos → melhorias → refinado
43,core,Explicar Raciocínio,Apresente o pensamento passo a passo para mostrar como as conclusões foram alcançadas - crucial para a transparência,passos → lógica → conclusão
44,core,Expandir ou Contrair para o Público,Ajuste dinamicamente o nível de detalhe e profundidade técnica para o público-alvo - adapta o conteúdo às capacidades do leitor,público → ajustes → conteúdo refinado
45,aprendizado,Técnica Feynman,Explique conceitos complexos de forma simples como se estivesse ensinando uma criança - o teste final da verdadeira compreensão,complexo → simples → lacunas → domínio
46,aprendizado,Teste de Recordação Ativa,Teste a compreensão sem referências para verificar o conhecimento real - essencial para identificar lacunas,teste → lacunas → reforço
47,filosófico,Aplicação da Navalha de Occam,Encontre a explicação suficiente mais simples eliminando complexidade desnecessária - essencial para depuração,opções → simplificação → seleção
48,filosófico,Variações do Dilema do Bonde,Explore trade-offs éticos através de dilemas morais - valioso para entender valores e decisões difíceis,dilema → análise → decisão
49,retrospectiva,Reflexão Retrospectiva,Imagine olhar para trás a partir do futuro para ganhar perspectiva - poderoso para revisões de projetos,visão futura → insights → aplicação
50,retrospectiva,Extração de Lições Aprendidas,Identifique sistematicamente as principais conclusões e melhorias acionáveis - essencial para a melhoria contínua,experiência → lições → ações
